item,year,value
정보통신업,1965,6.179
정보통신업,1965,6.526
정보통신업,1965,6.055
정보통신업,1964,6.682
정보통신업,1964,6.035
운수업,1966,3.549
운수업,1963,2.378
운수업,1963,2.39
운수업,1962,2.426
운수업,1962,2.433
운수업,1962,2.419
운수업,1962,2.449
운수업,1961,2.258
운수업,1961,2.285
운수업,1961,2.223
운수업,1961,2.079
운수업,1960,1.74
운수업,1960,1.75
운수업,1960,1.742
운수업,1960,1.755
운수업,2021,120.198
운수업,2020,104.584
운수업,2019,95.461
운수업,2018,92.649
운수업,2017,96.674
운수업,2016,100.152
운수업,2015,100
운수업,2014,89.833
운수업,2013,83.859
운수업,2012,79.33
운수업,2011,81.206
운수업,2010,91.025
운수업,2009,94.136
도소매 및 숙박음식업,2016,104.857
도소매 및 숙박음식업,2016,102.059
도소매 및 숙박음식업,2016,103.106
도소매 및 숙박음식업,2015,96.973
도??매 및 숙박음식업,2015,102.682
도소매 및 숙박음식업,2015,99.816
도소매 및 숙박음식업,2015,100.804
도소매 및 숙박음식업,2014,96.221
도소매 및 숙박음식업,2014,100.074
도소매 및 숙박음식업,2014,97.472
도소매 및 숙박음식업,2014,99.789
도소매 및 숙박음식업,2013,96.677
도소매 및 숙박음식업,2013,101.283
도소매 및 숙박음식업,2013,99.229
도소매 및 숙박음식업,2013,101.12
도소매 및 숙박음식업,2012,97.64
도소매 및 숙박음식업,2012,101.631
도소매 및 숙박음식업,2012,99.698
도소매 및 숙박음식업,2012,100.285
도소매 및 숙박음식업,2011,99.649
도소매 및 숙박음식업,2011,100.524
도소매 및 숙박음식업,2011,97.055
도소매 및 숙박음식업,2011,97.436
도소매 및 숙박음식업,2010,96.088
도소매 및 숙박음식업,2010,98.143
도소매 및 숙박음식업,2010,96.269
도소매 및 숙박음식업,2010,95.011
도소매 및 숙박음식업,2009,92.651
도소매 및 숙박음식업,2009,95.261
도소매 및 숙박음식업,2009,93.457
도소매 및 숙박음식업,2009,92.907
도소매 및 숙박음식업,2008,91.126
도소매 및 숙박음식업,2008,91.098
도소매 및 숙박음식업,2008,88.734
도소매 및 숙박음식업,2008,86.483
도소매 및 숙박음식업,2007,84.364
도소매 및 숙박음식업,2007,84.024
도소매 및 숙박음식업,2007,83.158
도소매 및 숙박음식업,2007,83.178
도소매 및 숙박음식업,2006,83.021
도소매 및 숙박음식업,2006,82.118
도소매 및 숙박음식업,2006,80.88
도소매 및 숙박음식업,2006,81.564
도소매 및 숙박음식업,2005,80.183
도소매 및 숙박음식업,2005,79.55
도소매 및 숙박??식업,2005,80.182
도소매 및 숙박음식업,2005,80.248
도소매 및 숙박음식업,2004,78.291
도소매 및 숙박음식업,2004,77.905
도소매 및 숙박음식업,2004,78.997
도소매 및 숙박음식업,2004,77.694
도소매 및 숙박음식업,2003,75.285
도소매 및 숙박음식업,2003,72.866
도소매 및 숙박음식업,2003,75.049
도소매 및 숙박음식업,2003,75.087
도소매 및 숙박음식업,2002,71.211
도소매 및 숙박음식업,2002,69.456
운수업,1994,71.181
운수업,1994,73.237
운수업,1994,70.257
운수업,1994,63.437
운수업,1993,66.336
운수업,1993,68.002
운수업,1993,65.676
운수업,1993,60.964
운수업,1992,60.599
운수업,1992,61.747
운수업,1992,59.205
운수업,1992,54.821
운수업,1991,56.373
운수업,1991,57.13
운수업,1991,54.74
운수업,1990,50.336
운수업,1990,50.691
운수업,1990,48.627
도소매 및 숙박음식업,2002,71.01
도소매 및 숙박음식업,2002,71.405
도소매 및 숙박음식업,2001,69.289
도소매 및 숙박음식업,2001,69.798
도소매 및 숙박음식업,2001,69.857
도소매 및 숙박음식업,2001,70.542
도소매 및 숙박음식업,2000,70.63
도소매 및 숙박음식업,2000,67.699
도소매 및 숙박음식업,2000,67.213
도소매 및 숙박음식업,2000,68.095
도소매 및 숙박음식업,1999,64.815
도소매 및 숙박음식업,1999,61.588
도소매 및 숙박음식업,1999,62.326
도소매 및 숙박음식업,1999,62.384
도소매 및 숙박음식업,1998,59.825
도소매 및 숙박음식업,1998,58.994
도소매 및 숙박음식업,1998,60.304
도소매 및 숙박음식업,1998,62.539
도소매 및 숙박음식업,1997,60.549
도소매 및 숙박음식업,1997,57.281
도소매 및 숙박음식업,1997,57.545
도소매 및 숙박음식업,1997,58.906
도소매 및 숙박음식업,1996,59.212
도소매 및 숙박음식업,1996,58.1
도소매 및 숙박음식업,1996,57.971
도소매 및 숙박음식업,1996,59.17
도소매 및 숙박음식업,1995,59.585
도소매 및 숙박음식업,1995,58.215
도소매 및 숙박음식업,1995,57.327
도소매 및 숙박음식업,1995,57.562
도소매 및 숙박음식업,1994,56.069
도소매 및 숙박음식업,1994,54.15
도소매 및 숙박음식업,1994,52.281
도소매 및 숙박음식업,1994,53.348
도소매 및 숙박음식업,1961,0.461
도소매 및 숙박음식업,1961,0.531
도소매 및 숙박음식업,1961,0.501
도소매 및 숙박음식업,1961,0.466
도소매 및 숙박음식업,1960,0.405
도소매 및 숙박음식업,1960,0.44
도소매 및 숙박음식업,1960,0.402
도소매 및 숙박음식업,1960,0.334
도소매 및 숙박음식업,2021,103.619
도소매 및 숙박음식업,2020,102.066
도소매 및 숙박음식업,2019,103.356
도소매 및 숙박음식업,2018,104.567
도소매 및 숙박음식업,2017,104.399
도소매 및 숙박음식업,2016,102.754
도소매 및 숙박음식업,2015,100
도소매 및 숙박음식업,2014,98.348
도소매 및 숙박음식업,2013,99.518
도소매 및 숙박음식업,2012,99.778
도소매 및 숙박음식업,2011,98.674
도소매 및 숙박음식업,2010,96.384
도소매 및 숙박음식업,2009,93.564
도소매 및 숙박음식업,2008,89.373
도소매 및 숙박음식업,2007,83.693
도소매 및 숙박음식업,2006,81.904
도소매 및 숙박음식업,2005,80.039
도소매 및 숙박음식업,2004,78.226
도소매 및 숙박음식업,2003,74.572
도소매 및 숙박음식업,2002,70.764
도소매 및 숙박음식업,2001,69.859
도소매 및 숙박음식업,2000,68.429
도소매 및 숙박음식업,1999,62.811
도소매 및 숙박음식업,1998,60.395
도소매 및 숙박음식업,1997,58.558
도소매 및 숙박음식업,1996,58.608
도소매 및 숙박음식업,1995,58.174
도소매 및 숙박음식업,1994,53.971
도소매 및 숙박음식업,1993,50.884
도소매 및 숙박음식업,1992,48.859
도소매 및 숙박음식업,1991,45.891
도소매 및 숙박음식업,1990,42.262
도소매 및 숙박음식업,1989,39.17
도소매 및 숙박음식업,1987,37.067
도소매 및 숙박음식업,1986,34.177
도소매 및 숙박음식업,1985,31.583
도소매 및 숙박음식업,1984,29.724
도소매 및 숙박음식업,1983,26.884
도소매 및 숙박음식업,1975,9.063
도소매 및 숙박음식업,1974,7.895
도소매 및 숙박음식업,1973,5.54
도소매 및 숙박음식업,1972,4.502
도소매 및 숙박음식업,1971,3.776
도소매 및 숙박음식업,1970,3.256
도소매 및 숙박음식업,1969,3.06
도소매 및 숙박음식업,1968,2.553
도소매 및 숙박음식업,1967,2.454
도소매 및 숙박음식업,1966,2.131
도소매 및 숙박음식업,1965,1.734
도소매 및 숙박음식업,1964,1.329
도소매 및 숙박음식업,1963,0.856
도소매 및 숙박음식업,1962,0.593
도소매 및 숙박음식업,1961,0.489
도소매 및 숙박음식업,1976,10.608
도소매 및 숙박음식업,1960,0.396
운수업,2008,98.348
운수업,2007,95.854
운수업,2006,90.264
운수업,2005,92.885
운수업,2004,94.132
운수업,2003,88.034
운수업,2002,80.861
운수업,2001,77.235
운수업,2000,76.482
운수업,1999,79.302
